serial,name,value,notes
37-12588,CC_a0,-1.397778e-04,source_file CTDMO-S_SBE_37IM_SN_37-12588_Calibration_Files_2026-05-23.zip > 12588.cal
37-12588,CC_a1,3.059165e-04,
37-12588,CC_a2,-4.049403e-06,
37-12588,CC_a3,1.903472e-07,
37-12588,CC_g,-9.705947e-01,
37-12588,CC_h,1.509039e-01,
37-12588,CC_i,-8.653319e-05,
37-12588,CC_j,2.983652e-05,
37-12588,CC_ctcor,3.250000e-06,
37-12588,CC_cpcor,-9.570000e-08,
37-12588,CC_wbotc,1.971277e-07,
37-12588,CC_pa0,-5.840520e-03,
37-12588,CC_pa1,5.100339e-04,
37-12588,CC_pa2,-3.288318e-12,
37-12588,CC_ptca0,5.243947e+05,
37-12588,CC_ptca1,-3.181766e+00,
37-12588,CC_ptca2,1.128573e-01,
37-12588,CC_ptcb0,2.501925e+01,
37-12588,CC_ptcb1,-2.950000e-03,
37-12588,CC_ptcb2,0.000000e+00,
37-12588,CC_ptempa0,-7.249616e+01,
37-12588,CC_ptempa1,4.819342e-02,
37-12588,CC_ptempa2,-2.263785e-08,
37-12588,CC_p_range,160,
