serial,name,value,notes
1214,CC_angular_resolution,1.076,Constant; source_file FLORT-D_BBFL2W_SN_1214_Calibration_2026-03-23.zip > BBFL2W-1214.dev and BBFL2W-1214_Secondary Cal.dev; caldate is latest date on secondary scatter cal
1214,CC_dark_counts_cdom,43.32,
1214,CC_dark_counts_chlorophyll_a,52.5,
1214,CC_dark_counts_volume_scatter,47.62,see BBFL2W-1214_Secondary Cal.dev
1214,CC_depolarization_ratio,0.039,Constant
1214,CC_measurement_wavelength,700,Constant
1214,CC_scale_factor_cdom,9.409E-02,This calibration not affected by CDOM calibration correction
1214,CC_scale_factor_chlorophyll_a,1.256E-02,
1214,CC_scale_factor_volume_scatter,1.347E-06,see BBFL2W-1214_Secondary Cal.dev
1214,CC_scattering_angle,124,Constant
