serial,name,value,notes
1100,CC_angular_resolution,1.076,Constant; source_file FLORT-K_BBFL2_SN_1100_Calibration_2026-05-01.zip > BBFL2-1100.dev
1100,CC_dark_counts_cdom,44.43333333,
1100,CC_dark_counts_chlorophyll_a,49.06666667,
1100,CC_dark_counts_volume_scatter,48,
1100,CC_depolarization_ratio,0.039,Constant
1100,CC_measurement_wavelength,700,Constant
1100,CC_scale_factor_cdom,9.041E-02,This calibration not affected by CDOM calibration correction
1100,CC_scale_factor_chlorophyll_a,1.239E-02,
1100,CC_scale_factor_volume_scatter,2.982E-06,
1100,CC_scattering_angle,124,Constant
